DateTime,Open,High,Low,Close,
20160906111000,23642.0,23656.0,23633.0,23636.0,
20160906111500,23637.0,23678.0,23633.0,23673.0,
20160906112000,23674.0,23675.0,23660.0,23668.0,
20160906112500,23668.0,23688.0,23668.0,23682.0,
20160906113000,23682.0,23687.0,23666.0,23671.0,
20160906113500,23670.0,23677.0,23663.0,23672.0,
20160906114000,23672.0,23687.0,23662.0,23664.0,
20160906114500,23665.0,23672.0,23662.0,23668.0,
20160906115000,23669.0,23669.0,23655.0,23656.0,
20160906115500,23658.0,23661.0,23652.0,23657.0,
20160906125500,23657.0,23657.0,23657.0,23657.0,
20160906130000,23655.0,23659.0,23626.0,23648.0,
20160906130500,23647.0,23649.0,23635.0,23635.0,
20160906131000,23636.0,23649.0,23629.0,23638.0,
20160906131500,23639.0,23655.0,23634.0,23647.0,
20160906132000,23646.0,23657.0,23642.0,23653.0,
20160906132500,23654.0,23670.0,23651.0,23666.0,
20160906133000,23664.0,23673.0,23661.0,23661.0,
20160906133500,23661.0,23678.0,23658.0,23670.0,
20160906134000,23672.0,23693.0,23672.0,23686.0,
20160906134500,23685.0,23705.0,23684.0,23693.0,
20160906135000,23693.0,23694.0,23673.0,23674.0,
20160906135500,23674.0,23690.0,23673.0,23690.0,
20160906140000,23691.0,23695.0,23672.0,23674.0,
20160906140500,23673.0,23684.0,23668.0,23681.0,
20160906141000,23681.0,23693.0,23664.0,23683.0,
20160906141500,23684.0,23691.0,23678.0,23683.0,
20160906142000,23684.0,23697.0,23680.0,23687.0,
20160906142500,23686.0,23688.0,23674.0,23678.0,
20160906143000,23680.0,23686.0,23670.0,23680.0,
20160906143500,23681.0,23692.0,23675.0,23685.0,
20160906144000,23686.0,23708.0,23682.0,23693.0,
20160906144500,23692.0,23718.0,23688.0,23704.0,
20160906145000,23705.0,23709.0,23697.0,23704.0,
20160906145500,23705.0,23706.0,23691.0,23694.0,
20160906150000,23693.0,23708.0,23686.0,23698.0,
20160906150500,23699.0,23699.0,23675.0,23683.0,
20160906151000,23682.0,23693.0,23682.0,23686.0,
20160906151500,23687.0,23696.0,23673.0,23686.0,
20160906152000,23686.0,23707.0,23683.0,23697.0,
20160906152500,23698.0,23707.0,23694.0,23698.0,
20160906153000,23697.0,23706.0,23686.0,23696.0,
20160906153500,23695.0,23695.0,23683.0,23690.0,
20160906154000,23690.0,23717.0,23690.0,23715.0,
20160906154500,23715.0,23730.0,23708.0,23719.0,
20160906155000,23721.0,23736.0,23719.0,23724.0,
20160906155500,23724.0,23732.0,23709.0,23725.0,
20160906160000,23725.0,23725.0,23702.0,23702.0,
20160906160500,23702.0,23718.0,23700.0,23707.0,
20160906161000,23708.0,23708.0,23692.0,23699.0,
20160906161500,23699.0,23702.0,23689.0,23691.0,
20160906162000,23690.0,23698.0,23689.0,23693.0,
20160906162500,23693.0,23720.0,23693.0,23714.0,
